SALAS,MATUTINO,,,,,,VESPERTINO,,,,,,NOTURNO,,,,,,SÁBADO,CADEIRAS
105,ENF – 1ª,AGRO – 1ª + 3ª,ENF – 1ª,ENF – 1ª,AGRO – 5ª,,AGRO – 1ª,PPGE,AGRO – 1ª,AGRO – 1ª + 3ª,CC – 3ª,,ADM – 2ª,MAT – 7ª & CC – 7ª,ADM – 2ª,PED – 2ª & GEO – 3ª,ADM – 2ª,,,105
220,---------,---------,---------,---------,---------,,---------,---------,---------,---------,---------,,LET – 1ª,,LET – 1ª,,LET – 1ª,,---------,50
301,CELUFFS - Português Brasileiro para Migrantes,PPGEL,ENF – 3ª,PPGEL -  DR,ADM – 1ª,,PPGEL,PPGEL,PPGEL,PPGEL,ENF – 1ª,,FIL – 1ª,LET – 1ª,FIL – 1ª,FIL – 1ª,FIL – 1ª,,,50
302,CELUFFS - Português Brasileiro para Migrantes,PPGCB,EAS – 1ª,EAS – 1ª,EAS – 1ª |  AGRO – 1ª,,EAS – 1ª,PPGCB,PPGEL,EAS – 1ª,EAS – 1ª,,HIS – 1ª,CS – 1ª,CS – 1ª,CS – 1ª,CS – 1ª,,,50
311,PPGE,PPGE,AGRO – 1ª,PPGFIL,PROFMAT,,CC – 1ª,PPGH,PPGH,PPGFIL,PROFMAT,,PPGH,HIS – 1ª,HIS – 1ª,HIS – 1ª,ESPECIALIZAÇÃO PRODUÇÃO VEGETAL,,ESPECIALIZAÇÃO PRODUÇÃO VEGETAL,50
312,ADM – 1ª,ADM – 1ª,ADM – 1ª,,PROFMAT,,PPGGEO,PPGGEO,PPGEL -  DR,ENF – 1ª,PROFMAT,,PPGGEO,PPGGEO,MAT – 1ª,MAT – 1ª,MAT – 1ª,,,50
313,PED – 1ª,PED – 1ª,PED – 1ª,PED – 1ª,PED – 1ª,,PPGE,PPGE,CC – 1ª,CC – 1ª,CC – 1ª,,PPGE,GEO – 1ª,FIL – 3ª + GEO – 3ª,GEO – 1ª,PPGCB,,,50
ESPAÇOS “AJEITADOS”,,,,,,,,,,,,,,,,,,,,
LAB-CARTOGRAFIA,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,GEO – 7ª,GEO – 7ª +  8ª + 9ª,GEO – 5ª,GEO – 5ª,GEO – 7ª,,GEO – 9ª,30
LAB-HIDRO,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,GEO – 5ª,GEO – 9ª,--------,--------,GEO – 5ª,,--------,30
MINIAUDITÓRIO PEDAGOGIA,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,PED – 6ª,--------,--------,--------,--------,,--------,30
LAB-EST LINGUISTICOS + PET,--------,--------,--------,--------,--------,,--------,--------,--------,--------,--------,,LET – 9ª,--------,--------,--------,--------,,--------,30
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AGRO – 3ª,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Ok,,,
,,,,,,,,,,,,,,,,,,,,
,Legenda:,&,Ajuntamento de turmas,"Significa que há dois ou mais diários de classe, mas é uma única turma (ou seja,todos os estudantes desses diários terão aula na mesma sala, mesmo horário e com o mesmo docente).",,,,,,,,,,,,,,,,
,,+,Fusão de turmas,"Significa que há somente um diário de classe, o qual foi resultado da união de dois cursos, mais de uma fase de um mesmo curso, ou todas as fases de um curso.",,,,,,,,,,,,,,,,
,,|,Compartilhamento de sala,"São duas ou mais turmas que não possuem nenhuma relação entre si e tampouco compartilham horários. Somente possuem aula na mesma sala e turno (ou seja, as aulas não acontecem simultaneamente, uma termina para começar a outra).",,,,,,,,,,,,,,,,
,,,Aulas exclusivas nos laboratórios 407A e 408A,"Para os CCRs destacados com essa cor não está sendo reservada sala de aula, somente o laboratório em questão",,,,,,,,,,,,,,,,
,,,Cursos de pós-graduação,Os cursos da pós-graduação são pintados de verde para facilitar a sua visualização e diferenciação.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Observações sobre os Cursos que precisam ser seguidas:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Engenharia Ambiental,"Necessita de dois quadros por sala para os cálculos, logo pegar as 4: 201 e 205A, 301 e 305B de manha e de tarde",,,,,,,,,,,,,,,,,
,,Matemática,"Necessita de dois quadros por sala para os cálculos, logo pegar as 4: 201 e 205A, 301 e 305B de noite",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Geografia," GISELE LEITE DE LIMA PRIMAM solicita que suas aulas sejam dadas no bloco B, devido a problemas auditivos que ela enfrenta",,,,,,,,,,,,,,,,,
,,Ciência da Computação,"Todas as salas do 4º piso do bloco B (menos a 401) pertencem ao curso , alem disso, os professores gostariam que as reservas fossem feitas no 3 piso, para ficar mais próximo dos laboratorios",,,,,,,,,,,,,,,,,
,,Salas do mesmo curso devem ser preferencialmente contíguas.,,,,,,,,,,,,,,,,,,
