,,MATUTINO,-,-,-,-,-,VESPERTINO,-,-,-,-,-,NOTURNO,-,-,-,-,-
,,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB,SEG,TER,QUA,QUI,SEX,SAB
Não Alocadas (0),Salas,,,,,,,,,,,,,,,,,,
-,408-B,-,-,ADM - opt (GCS556_1),-,-,-,-,-,-,-,-,-,-,ADM - opt (GCS566_1),-,ADM - opt (GCS554_1),-FUSÃO: GEOGRAFIA + HISTÓRIA - 6 (GCH383_1),-
-,105-B,-,-,-,-,-,-,-,-,-,-,-,-,LET - 4 (GLA365_1),-,LET - 4 (GLA366_1),-,LET - 4 (GLA364_1),-
-,108-B,-,-,-,-,-,-,-,-,-,-,-,-,CS - 2 (GCH1325_1),CS - 2 (GCH1334_1),LETRAS - PIN - opt (GLA004_3),CS - 2 (GCH1333_1),-,-
-,201-B,-,-,-,-,-,-,CC - 2 (GEN253_1),AGRO - 6 (GCA286_2),-,-,-,-,CC - 2 (GEX605_1),-,CC - 2 (GLA104_2),-FUSÃO: FILOSOFIA + MATEMÁTICA - 4 (GCH840_1),-,-
-,202-B,PED - 4 (GCH1102_1),PED - 4 (GCH838_2),PED - 4 (GCH1105_1),PED - 6 (GCH1115_1),PED - 6 (GCH1116_1),PED - 7 (GCH1117_1),-,-,-,-,-,PED - 7 (GCH1117_1),PED - 1 (GCH1100_1),PED - 7 (GEX776_1),PED - 7 (GCH1117_1),PED - 7 (GCH160_1),PED - 1 (GCH290_6),-
-,203-B,PED - 4 (GCH1106_1),PED - 2 (GCH1039_1),PED - 2 (GCH1037_1),PED - 2 (GCH839_1),PED - 2 (GCS239_4),PED - 2 (GCH839_1),-,-,-,-,-,-,PED - 9 (GCH1130_1),PED - 9 (GCH1131_1),PED - 9 (GCH1129_1),PED - 9 (GCH1280_1),PED - 9 (GCH1127_1),-
-,204-B,PED - 6 (GLA239_1),PED - 6 (GCH1112_1),PED - 6 (GLA238_1),PED - 6 (GCH1114_1),PED - 6 (GCH1113_1),-,-,-,-,-,-,-,PED - 7 (GLA213_1),PED - 7 (GCH1118_1),PED - 7 (GCH1120_1),PED - 7 (GLA240_1),PED - 5 (GCH1108_1),-
-,205-B,PED - 8 (GEX777_1),PED - 8 (GCH1123_1),PED - 8 (GCH1125_1),PED - 8 (GCH1124_1),PED - 8 (GCH1122_1),PED - 8 (GCH1121_1),-,-,-,-,-,-,PED - 5 (GLA237_1),PED - 5 (GCH1111_1),PED - 5 (GCH1110_1),PED - 5 (GCH1107_1),PED - 5 (GCH1109_1),-
-,206-B,PED - 10 (GCH1133_1),PED - 2 (GCH1038_1),PED - opt (GCH1303_1),PED - 10 (GCS238_3),PED - 10 (GCH1134_1),PED - 9 (GCH1128_1),-,-,-,-,-,PED - 9 (GCH1128_1),PED - 3 (GCH1086_1),PED - 9 (GCH1128_1),PED - 9 (GCH1279_1),PED - opt (GCH1286_1),PED - 3 (GCH1099_1),-
-,207-B,-FUSÃO: ENGENHARIA AMBIENTAL E SANITÁRIA + PEDAGOGIA - 2 (GCH291_1),ENF - 2 (GEX212_1),-,-,-,-,-,-,-,ENF - 2 (GCB019_1),-,-,CC - 1 (GCH293_2),CC - 1 (GEX208_1),LETRAS - PIN - opt (GCH293_4),CC - 1 (GEX003_2),-,-
-,208-B,-,-,-,-,-,-,-,-,-,-,-,-,PED - 1 (GCH1036_1),PED - 1 (GLA104_4),PED - 1 (GCH292_4),PED - 1 (GCH1035_1),-,-
-,209-B,-,-,-,-,-,-,-,-,-,-,-,-,-FUSÃO: CIÊNCIAS SOCIAIS + HISTÓRIA - 8 (GCS238_5),PED - 3 (GCH1087_1),PED - 3 (GCH833_2),PED - 3 (GCH840_2),PED - 3 (GCH1088_1),-
-,210-B,MED - 7 (GSA213_1),MED - 7 (GSA214_1),PED - opt (GCH1302_1),MED - 7 (GCS239_11),-,-,MED - 7 (GSA217_1),MED - 7 (GSA214_1),-,MED - 7 (GSA216_1),-,-,MAT - 8 (GEX993_1),MED - 7 (GSA213_1),PED - opt (GCH1301_1),MED - 7 (GSA216_1),PED - opt (GCH1284_1),-
-,301-B,MED - 3 (GSA168_1),MED - 3 (GSA280_1),MED - 3 (GSA171_1),MED - 7 (GCS239_11) | MED - 3 (GSA168_1),MED - 7 (GSA186_1),GEO - 2 (GCH620_1),MED - 7 (GSA217_1) | MED - 3 (GSA280_1),MED - 3 (GSA167_1) | MED - 3 (GSA280_1),MED - 7 (GSA215_1),MED - 3 (GSA167_1) | MED - 7 (GSA216_1),MED - 7 (GSA215_1),-,GEO - 2 (GCH620_1),GEO - 2 (GEX557_1),GEO - 2 (GCH290_8),GEO - 2 (GEX210_8),GEO - 2 (GEX556_1),-
-,302-B,-,-,-,-,PED - 10 (GCH1132_1),-,GEO - 6 (GCB295_1),GEO - 8 (GCH628_1),EAS - 9 (GEN113_1),EAS - 9 (GEN112_1),-,-,GEO - 6 (GCB295_1),GEO - 6 (GCH626_1),GEO - 6 (GCH627_1),GEO - 6 (GCH622_1),GEO - 8 (GCH634_1),-
